iter	Passed	Remaining
0	131	131804
1	133	66736
2	136	45258
3	137	34324
4	139	27742
5	140	23333
6	142	20176
7	143	17832
8	145	15997
9	146	14521
10	151	13577
11	153	12615
12	155	11779
13	156	11038
14	159	10459
15	160	9886
16	162	9379
17	163	8926
18	167	8665
19	169	8316
20	171	8010
21	173	7726
22	176	7482
23	177	7219
24	178	6976
25	182	6853
26	184	6658
27	186	6473
28	188	6306
29	189	6140
30	191	5977
31	192	5820
32	193	5675
33	195	5567
34	197	5458
35	200	5364
36	202	5266
37	204	5172
38	206	5084
39	208	4995
40	213	4990
41	214	4903
42	216	4819
43	218	4742
44	220	4677
45	222	4604
46	223	4533
47	225	4475
48	227	4416
49	229	4359
50	234	4357
51	237	4332
52	239	4275
53	241	4225
54	243	4177
55	244	4126
56	246	4076
57	249	4052
58	251	4003
59	252	3951
60	253	3901
61	255	3859
62	256	3818
63	258	3778
64	259	3738
65	261	3700
66	263	3671
67	265	3636
68	266	3597
69	267	3559
70	269	3522
71	270	3486
72	272	3456
73	273	3428
74	275	3401
75	278	3388
76	280	3364
77	282	3338
78	283	3308
79	285	3280
80	286	3250
81	288	3228
82	289	3196
83	294	3212
84	296	3187
85	297	3163
86	300	3153
87	302	3134
88	304	3114
89	306	3094
90	309	3091
91	311	3071
92	313	3052
93	315	3037
94	316	3017
95	318	3001
96	321	2988
97	324	2987
98	328	2987
99	330	2972
100	332	2956
101	333	2938
102	336	2928
103	341	2942
104	343	2930
105	345	2917
106	348	2908
107	351	2900
108	354	2898
109	357	2889
110	359	2878
111	361	2868
112	364	2858
113	366	2847
114	370	2849
115	372	2838
116	373	2820
117	375	2806
118	377	2791
119	379	2782
120	382	2775
121	385	2776
122	388	2771
123	391	2763
124	392	2750
125	394	2736
126	395	2720
127	397	2706
128	401	2708
129	403	2700
130	405	2690
131	407	2680
132	409	2670
133	411	2660
134	415	2664
135	417	2654
136	419	2643
137	421	2631
138	423	2622
139	425	2614
140	428	2607
141	431	2607
142	433	2599
143	435	2590
144	437	2582
145	440	2575
146	442	2567
147	445	2565
148	448	2560
149	450	2554
150	453	2547
151	458	2556
152	463	2567
153	466	2561
154	468	2555
155	471	2549
156	473	2541
157	479	2552
158	481	2544
159	483	2540
160	485	2527
161	486	2517
162	488	2507
163	491	2503
164	493	2499
165	496	2492
166	498	2484
167	500	2476
168	502	2470
169	504	2463
170	508	2464
171	510	2457
172	512	2449
173	514	2442
174	523	2469
175	526	2463
176	528	2456
177	530	2447
178	531	2439
179	533	2430
180	536	2426
181	538	2420
182	540	2415
183	543	2410
184	546	2405
185	548	2398
186	551	2397
187	553	2389
188	555	2382
189	557	2375
190	559	2368
191	561	2361
192	563	2356
193	565	2350
194	567	2343
195	569	2336
196	571	2328
197	573	2321
198	575	2314
199	578	2312
200	580	2308
201	582	2301
202	584	2293
203	585	2285
204	587	2277
205	588	2269
206	590	2262
207	593	2260
208	598	2265
209	601	2261
210	603	2256
211	605	2250
212	608	2247
213	610	2243
214	612	2236
215	614	2231
216	616	2225
217	618	2218
218	620	2212
219	622	2207
220	625	2203
221	627	2198
222	628	2191
223	630	2183
224	632	2177
225	634	2171
226	636	2166
227	638	2161
228	640	2155
229	641	2148
230	643	2142
231	645	2137
232	651	2144
233	653	2139
234	655	2134
235	657	2129
236	659	2122
237	660	2115
238	663	2112
239	665	2107
240	667	2101
241	669	2096
242	671	2091
243	673	2086
244	675	2081
245	679	2083
246	681	2078
247	683	2071
248	685	2066
249	686	2060
250	689	2058
251	691	2053
252	695	2053
253	697	2047
254	699	2042
255	700	2036
256	702	2031
257	704	2026
258	706	2021
259	709	2018
260	711	2014
261	713	2009
262	715	2004
263	717	1999
264	719	1994
265	720	1989
266	723	1984
267	725	1980
268	726	1975
269	728	1970
270	731	1967
271	733	1963
272	735	1959
273	737	1954
274	739	1949
275	741	1944
276	744	1942
277	746	1939
278	748	1934
279	750	1929
280	755	1933
281	759	1932
282	760	1927
283	762	1922
284	764	1918
285	769	1920
286	771	1916
287	773	1911
288	775	1907
289	777	1902
290	778	1897
291	780	1893
292	786	1897
293	788	1892
294	789	1887
295	791	1882
296	793	1877
297	795	1873
298	797	1868
299	800	1867
300	801	1862
301	803	1857
302	805	1852
303	807	1848
304	809	1843
305	810	1838
306	815	1840
307	816	1835
308	818	1831
309	820	1825
310	821	1820
311	823	1815
312	824	1809
313	826	1805
314	829	1804
315	832	1801
316	833	1796
317	835	1791
318	836	1786
319	838	1781
320	839	1776
321	841	1772
322	844	1770
323	846	1766
324	848	1762
325	850	1758
326	852	1754
327	853	1749
328	855	1745
329	859	1744
330	860	1740
331	862	1735
332	864	1731
333	866	1727
334	867	1722
335	869	1718
336	871	1714
337	873	1710
338	875	1706
339	878	1704
340	882	1705
341	884	1701
342	886	1697
343	888	1693
344	890	1691
345	892	1687
346	894	1684
347	896	1679
348	898	1675
349	900	1672
350	902	1668
351	906	1668
352	908	1664
353	910	1661
354	912	1657
355	914	1653
356	915	1649
357	917	1645
358	922	1646
359	923	1642
360	925	1637
361	926	1633
362	928	1628
363	929	1624
364	930	1619
365	932	1614
366	935	1613
367	936	1609
368	938	1605
369	940	1601
370	942	1597
371	944	1594
372	945	1590
373	947	1585
374	950	1584
375	952	1580
376	953	1576
377	961	1581
378	963	1578
379	968	1579
380	969	1575
381	971	1571
382	973	1567
383	978	1569
384	982	1569
385	984	1566
386	986	1562
387	987	1558
388	989	1553
389	990	1549
390	992	1545
391	994	1542
